2
50
0 Phyllaemulor bracteatus
1 Nyctibius grandis
2 Nyctibius aethereus
3 Nyctibius griseus
4 Nyctibius leucopterus
5 Cypseloides senex
6 Streptoprocne biscutata
7 Panyptila cayennensis
8 Chaetura meridionalis
9 Calliphlox amethystina
10 Stephanoxis loddigesii
11 Chionomesa lactea
12 Chlorestes notata
13 Elliotomyia chionogaster
14 Hylocharis chrysura
15 Eupetomena macroura
16 Thalurania glaucopis
17 Anthracothorax nigricollis
18 Jacamerops aureus
19 Jacamaralcyon tridactyla
20 Cyphos macrodactylus
21 Galbula leucogastra
22 Galbula cyanescens
23 Nystalus maculatus
24 Chelidoptera tenebrosa
25 Guira guira
26 Crotophaga major
27 Crotophaga ani
28 Dromococcyx pavoninus
29 Dromococcyx phasianellus
30 Tapera naevia
31 Neomorphus geoffroyi
32 Neomorphus squamiger
33 Neomorphus rufipennis
34 Neomorphus pucheranii
35 Coccycua minuta
36 Micrococcyx cinereus
37 Piaya cayana
38 Cuculus canorus
39 Pelecanus occidentalis
40 Platalea ajaja
41 Theristicus caudatus
42 Mesembrinibis cayennensis
43 Eudocimus ruber
44 Cochlearius cochlearius
45 Butorides striata
46 Ardea purpurea
47 Egretta gularis
48 Egretta caerulea
49 Egretta thula
1225
0 1 3
0 2 3
0 3 3
0 4 3
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
1 2 4
1 3 4
1 4 4
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 1
1 32 1
1 33 1
1 34 1
1 35 1
1 36 1
1 37 1
1 38 1
1 39 1
1 40 1
1 41 1
1 42 1
1 43 1
1 44 1
1 45 1
1 46 1
1 47 1
1 48 1
1 49 1
2 3 4
2 4 4
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 1
2 35 1
2 36 1
2 37 1
2 38 1
2 39 1
2 40 1
2 41 1
2 42 1
2 43 1
2 44 1
2 45 1
2 46 1
2 47 1
2 48 1
2 49 1
3 4 4
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 1
3 28 1
3 29 1
3 30 1
3 31 1
3 32 1
3 33 1
3 34 1
3 35 1
3 36 1
3 37 1
3 38 1
3 39 1
3 40 1
3 41 1
3 42 1
3 43 1
3 44 1
3 45 1
3 46 1
3 47 1
3 48 1
3 49 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 27 1
4 28 1
4 29 1
4 30 1
4 31 1
4 32 1
4 33 1
4 34 1
4 35 1
4 36 1
4 37 1
4 38 1
4 39 1
4 40 1
4 41 1
4 42 1
4 43 1
4 44 1
4 45 1
4 46 1
4 47 1
4 48 1
4 49 1
5 6 3
5 7 3
5 8 3
5 9 2
5 10 2
5 11 2
5 12 2
5 13 2
5 14 2
5 15 2
5 16 2
5 17 2
5 18 1
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 1
5 27 1
5 28 1
5 29 1
5 30 1
5 31 1
5 32 1
5 33 1
5 34 1
5 35 1
